id,source,category,expected_risk,predicted_risk,risk_correct,dept_score,sym_f1,sym_precision,sym_recall,entity_acc,kw_coverage,questions_asked,repeated_questions,context_retained,session_completed,latency_ms
PD_001,provided_dataset,"Respiratory / Viral",medium,medium,1,1.000,0.000,0.000,0.000,1.000,0.333,5,0,1,1,7
PD_002,provided_dataset,"Respiratory / Viral",medium,medium,1,1.000,1.000,1.000,1.000,0.000,0.600,7,0,0,0,1
PD_003,provided_dataset,"Respiratory / Pneumonia",high,low,0,0.667,0.667,1.000,0.500,0.250,0.000,4,0,1,1,0
PD_004,provided_dataset,"Respiratory / Viral",medium,unknown,0,0.500,0.000,0.000,0.000,0.000,0.000,0,0,1,0,1
PD_005,provided_dataset,"Respiratory / Viral",low,high,0,0.000,0.500,1.000,0.333,0.000,0.333,6,0,1,1,1
PD_006,provided_dataset,"Respiratory / Viral",low,low,1,1.000,1.000,1.000,1.000,0.000,0.333,4,0,1,1,0
PD_007,provided_dataset,"Respiratory / Viral",medium,low,0,0.667,0.667,1.000,0.500,0.000,0.200,4,0,1,1,1
PD_008,provided_dataset,"Respiratory / Viral",low,unknown,0,1.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0
PD_009,provided_dataset,"Respiratory / Asthma",high,high,1,1.000,0.667,1.000,0.500,0.000,0.250,4,0,1,1,1
PD_010,provided_dataset,"Respiratory / Pneumonia",high,low,0,0.000,0.500,1.000,0.333,0.000,0.000,4,0,1,1,2
PD_011,provided_dataset,"Neurological / Multi-symptom",high,high,1,0.333,0.889,0.800,1.000,0.333,0.000,7,0,1,0,2
PD_012,provided_dataset,"Respiratory / Pneumonia",critical,critical,1,0.333,0.857,1.000,0.750,0.000,0.200,7,0,1,0,0
PD_013,provided_dataset,"Respiratory / Asthma",low,unknown,0,0.667,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0
PD_014,provided_dataset,"Chronic / Diabetes",medium,unknown,0,0.667,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0
PD_015,provided_dataset,"Musculoskeletal / Autoimmune",low,unknown,0,0.667,0.000,0.000,0.000,0.000,0.000,0,0,1,0,1
PD_016,provided_dataset,"Respiratory / Pneumonia",high,high,1,0.000,1.000,1.000,1.000,0.250,0.250,7,0,1,0,0
PD_017,provided_dataset,"Respiratory / Pneumonia",high,unknown,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,1
PD_018,provided_dataset,"Respiratory / Viral",medium,medium,1,0.667,0.667,1.000,0.500,0.000,0.500,5,0,1,1,0
PD_019,provided_dataset,"Respiratory / Viral",high,high,1,1.000,0.750,1.000,0.600,0.000,0.400,7,0,1,0,1
PD_020,provided_dataset,"Musculoskeletal / Joint Pain",low,low,1,1.000,1.000,1.000,1.000,0.000,0.000,3,0,1,1,0
PD_021,provided_dataset,"Respiratory / Viral",high,high,1,1.000,0.500,1.000,0.333,0.000,0.000,4,0,1,1,1
PD_022,provided_dataset,"Respiratory / Pneumonia",critical,unknown,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0
PD_023,provided_dataset,"Neurological",low,medium,0,1.000,0.500,1.000,0.333,0.000,0.333,4,0,1,1,1
PD_024,provided_dataset,"Respiratory / Multi-symptom",high,high,1,0.500,0.889,1.000,0.800,0.000,0.400,7,0,1,0,1
PD_025,provided_dataset,"Respiratory / Viral",medium,medium,1,1.000,0.500,1.000,0.333,0.000,1.000,5,0,1,1,1
PD_026,provided_dataset,"Cardiovascular / Respiratory",high,low,0,0.000,0.800,1.000,0.667,0.250,0.200,4,0,1,1,0
PD_027,provided_dataset,"Respiratory / Viral",medium,low,0,0.500,0.500,1.000,0.333,0.000,0.000,4,0,1,1,0
PD_028,provided_dataset,"Dermatology",low,unknown,0,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,1
PD_029,provided_dataset,"Respiratory / Pneumonia",critical,unknown,0,0.000,0.000,0.000,0.000,0.250,0.000,0,0,1,0,1
PD_030,provided_dataset,"Respiratory / Viral",medium,medium,1,1.000,0.667,0.667,0.667,0.000,0.500,7,0,1,0,1
PD_031,provided_dataset,"ENT / Respiratory",low,unknown,0,1.000,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0
PD_032,provided_dataset,"Musculoskeletal / Skin",medium,unknown,0,0.667,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0
PD_033,provided_dataset,"Respiratory / COPD",high,unknown,0,0.667,0.000,0.000,0.000,0.000,0.000,0,0,1,0,0
